prob_0,prob_1,predicted_class,set,date,true_y
0.9919591,0.008040893,0,train,1981-01-01,0
0.99297196,0.0070280256,0,test,1981-01-02,0
0.95876545,0.041234512,0,train,1981-01-03,0
0.9909877,0.009012295,0,train,1981-01-04,0
0.98067814,0.01932182,0,test,1981-01-05,0
0.9556622,0.044337757,0,test,1981-01-06,0
0.99049956,0.009500423,0,train,1981-01-07,0
0.9704352,0.029564751,0,test,1981-01-08,0
0.96580696,0.034193058,0,train,1981-01-09,0
0.98607266,0.01392738,0,test,1981-01-10,0
0.9892771,0.010722854,0,train,1981-01-11,0
0.9958754,0.0041246167,0,test,1981-01-12,0
0.98597175,0.014028225,0,train,1981-01-13,0
0.9732853,0.026714675,0,test,1981-01-14,0
0.9557658,0.044234183,0,train,1981-01-15,0
0.9799166,0.02008342,0,train,1981-01-16,0
0.99605906,0.003940923,0,test,1981-01-17,0
0.991042,0.008957905,0,train,1981-01-18,0
0.9108039,0.089196034,0,train,1981-01-19,0
0.9219439,0.07805616,0,train,1981-01-20,0
0.9882782,0.011721765,0,train,1981-01-21,0
0.9943732,0.00562675,0,test,1981-01-22,0
0.9935315,0.006468504,0,test,1981-01-23,0
0.9884006,0.011599406,0,train,1981-01-24,0
0.86069065,0.13930936,0,train,1981-01-25,0
0.3749394,0.62506056,1,train,1981-01-26,0
0.9493641,0.050635874,0,train,1981-01-27,0
0.9805936,0.019406388,0,train,1981-01-28,0
0.98089075,0.019109266,0,train,1981-01-29,0
0.95011437,0.049885657,0,train,1981-01-30,0
0.8905035,0.10949651,0,train,1981-01-31,0
0.14516515,0.85483485,1,train,1981-02-01,0
0.9723566,0.02764336,0,train,1981-02-02,0
0.99513125,0.0048688245,0,train,1981-02-03,0
0.98302174,0.016978225,0,train,1981-02-04,0
0.976489,0.023510968,0,train,1981-02-05,0
0.972538,0.027461978,0,train,1981-02-06,0
0.755063,0.244937,0,train,1981-02-07,0
0.93412656,0.065873384,0,test,1981-02-08,0
0.978455,0.021544997,0,train,1981-02-09,0
0.23158845,0.7684115,1,test,1981-02-10,0
0.7887069,0.21129304,0,train,1981-02-11,0
0.9859021,0.014097957,0,train,1981-02-12,0
0.9522995,0.047700487,0,train,1981-02-13,0
0.9841966,0.015803434,0,train,1981-02-14,0
0.9812195,0.01878051,0,train,1981-02-15,0
0.96976346,0.030236546,0,train,1981-02-16,0
0.98390436,0.016095616,0,train,1981-02-17,0
0.94361997,0.056380037,0,train,1981-02-18,0
0.98460233,0.01539771,0,train,1981-02-19,0
0.99579775,0.0042022457,0,train,1981-02-20,0
0.7217291,0.2782709,0,train,1981-02-21,0
0.13409998,0.8659,1,train,1981-02-22,0
0.94828814,0.051711857,0,train,1981-02-23,0
0.9949504,0.005049552,0,test,1981-02-24,0
0.98381466,0.016185347,0,test,1981-02-25,0
0.966699,0.033301033,0,train,1981-02-26,0
0.80864936,0.19135067,0,train,1981-02-27,0
0.8924328,0.10756715,0,train,1981-02-28,0
0.9819917,0.0180083,0,train,1981-03-01,0
0.9826048,0.01739519,0,test,1981-03-02,0
0.9819624,0.018037628,0,train,1981-03-03,0
0.75926954,0.24073046,0,train,1981-03-04,0
0.9796531,0.02034694,0,train,1981-03-05,0
0.9834156,0.016584365,0,test,1981-03-06,0
0.89466536,0.10533463,0,train,1981-03-07,0
0.96810865,0.031891394,0,train,1981-03-08,0
0.981557,0.018443024,0,train,1981-03-09,0
0.9779259,0.02207412,0,train,1981-03-10,0
0.98459876,0.015401289,0,train,1981-03-11,0
0.9840379,0.01596217,0,train,1981-03-12,0
0.97758716,0.02241289,0,train,1981-03-13,0
0.98982036,0.010179622,0,test,1981-03-14,0
0.90064174,0.09935823,0,train,1981-03-15,0
0.98760474,0.012395231,0,test,1981-03-16,0
0.9853887,0.014611304,0,train,1981-03-17,0
0.95434666,0.045653325,0,train,1981-03-18,0
0.9941415,0.0058584134,0,test,1981-03-19,0
0.99531084,0.004689152,0,test,1981-03-20,0
0.70678234,0.2932177,0,train,1981-03-21,0
0.73151255,0.26848742,0,train,1981-03-22,0
0.9885439,0.011456067,0,train,1981-03-23,0
0.9870876,0.012912406,0,train,1981-03-24,0
0.97079766,0.029202387,0,train,1981-03-25,0
0.98356485,0.01643516,0,train,1981-03-26,0
0.97997665,0.020023338,0,train,1981-03-27,0
0.7874753,0.2125247,0,train,1981-03-28,0
0.25112298,0.748877,1,test,1981-03-29,1
0.80537105,0.19462898,0,train,1981-03-30,0
0.5225667,0.47743338,0,train,1981-03-31,0
0.89479536,0.105204634,0,test,1981-04-01,0
0.99309677,0.006903194,0,train,1981-04-02,0
0.6843268,0.3156732,0,train,1981-04-03,0
0.063227914,0.9367721,1,train,1981-04-04,1
0.7646789,0.2353211,0,train,1981-04-05,0
0.99576616,0.0042338865,0,train,1981-04-06,0
0.9509376,0.04906239,0,test,1981-04-07,0
0.5163858,0.48361424,0,train,1981-04-08,0
0.9007492,0.099250756,0,train,1981-04-09,0
0.95682937,0.04317068,0,test,1981-04-10,0
0.8907642,0.10923581,0,test,1981-04-11,0
0.79973894,0.20026104,0,train,1981-04-12,0
0.7309435,0.2690565,0,train,1981-04-13,0
0.7337426,0.26625744,0,train,1981-04-14,0
0.98452735,0.015472695,0,train,1981-04-15,0
0.95907426,0.040925756,0,train,1981-04-16,0
0.9419287,0.05807133,0,train,1981-04-17,0
0.97526634,0.024733713,0,test,1981-04-18,0
0.91893685,0.081063144,0,train,1981-04-19,0
0.95335066,0.046649363,0,train,1981-04-20,0
0.9657914,0.034208592,0,train,1981-04-21,0
0.42238444,0.57761556,1,train,1981-04-22,0
0.06864155,0.93135846,1,train,1981-04-23,0
0.9828622,0.017137824,0,train,1981-04-24,0
0.99359506,0.006404993,0,train,1981-04-25,0
0.9926514,0.0073486157,0,train,1981-04-26,0
0.9793336,0.020666404,0,train,1981-04-27,0
0.71557534,0.28442466,0,train,1981-04-28,0
0.9619102,0.03808978,0,test,1981-04-29,0
0.9895607,0.0104393065,0,test,1981-04-30,0
0.9917319,0.008268067,0,train,1981-05-01,0
0.99755377,0.0024462768,0,train,1981-05-02,0
0.9633584,0.0366416,0,train,1981-05-03,0
0.56426835,0.43573165,0,test,1981-05-04,1
0.922901,0.07709898,0,train,1981-05-05,0
0.98291,0.017089961,0,train,1981-05-06,0
0.9806215,0.019378467,0,train,1981-05-07,0
0.8793031,0.120696895,0,train,1981-05-08,0
0.38549808,0.61450195,1,test,1981-05-09,0
