prob_0,prob_1,predicted_class,set,date,true_y
0.97090167,0.029098313,0,train,1981-01-01,0
0.9797395,0.020260453,0,test,1981-01-02,0
0.9733213,0.026678644,0,train,1981-01-03,0
0.97602284,0.023977173,0,train,1981-01-04,0
0.9245659,0.07543406,0,test,1981-01-05,0
0.8740629,0.1259371,0,test,1981-01-06,0
0.96703434,0.032965712,0,train,1981-01-07,0
0.94888645,0.051113535,0,test,1981-01-08,0
0.94576925,0.054230746,0,train,1981-01-09,0
0.9650593,0.034940667,0,test,1981-01-10,0
0.96284014,0.037159894,0,train,1981-01-11,0
0.9770487,0.02295133,0,test,1981-01-12,0
0.95771605,0.042283986,0,train,1981-01-13,0
0.9389837,0.06101628,0,test,1981-01-14,0
0.9189858,0.08101417,0,train,1981-01-15,0
0.93285686,0.067143165,0,train,1981-01-16,0
0.96844447,0.0315555,0,test,1981-01-17,0
0.9258786,0.07412137,0,train,1981-01-18,0
0.4989558,0.5010443,0,train,1981-01-19,0
0.39678055,0.60321945,0,train,1981-01-20,0
0.90404373,0.09595628,0,train,1981-01-21,0
0.97415644,0.025843536,0,test,1981-01-22,0
0.97645503,0.023545006,0,test,1981-01-23,0
0.9558933,0.044106703,0,train,1981-01-24,0
0.27746382,0.72253615,0,train,1981-01-25,0
0.21114859,0.7888514,1,train,1981-01-26,0
0.7702106,0.22978938,0,train,1981-01-27,0
0.9675463,0.03245365,0,train,1981-01-28,0
0.9594429,0.04055704,0,train,1981-01-29,0
0.9003925,0.09960758,0,train,1981-01-30,0
0.48421562,0.5157844,0,train,1981-01-31,0
0.13743216,0.8625679,1,train,1981-02-01,0
0.9182447,0.08175528,0,train,1981-02-02,0
0.98703754,0.012962465,0,train,1981-02-03,0
0.9627483,0.03725168,0,train,1981-02-04,0
0.92841476,0.071585275,0,train,1981-02-05,0
0.9077701,0.09222993,0,train,1981-02-06,0
0.74036074,0.25963923,0,train,1981-02-07,0
0.8705017,0.12949833,0,test,1981-02-08,0
0.9588997,0.04110034,0,train,1981-02-09,0
0.627545,0.372455,1,test,1981-02-10,0
0.67442274,0.32557732,0,train,1981-02-11,0
0.97036684,0.029633172,0,train,1981-02-12,0
0.93916905,0.060831,0,train,1981-02-13,0
0.94103795,0.05896201,0,train,1981-02-14,0
0.8945879,0.10541206,0,train,1981-02-15,0
0.82091767,0.17908227,0,train,1981-02-16,0
0.94095665,0.05904333,0,train,1981-02-17,0
0.7686741,0.23132595,0,train,1981-02-18,0
0.92658114,0.07341887,0,train,1981-02-19,0
0.95681626,0.043183737,0,train,1981-02-20,0
0.79613125,0.20386879,0,train,1981-02-21,0
0.18229276,0.8177072,1,train,1981-02-22,0
0.8654229,0.13457716,0,train,1981-02-23,0
0.9804566,0.019543465,0,test,1981-02-24,0
0.96270365,0.037296332,0,test,1981-02-25,0
0.9282518,0.07174823,0,train,1981-02-26,0
0.73645407,0.2635459,0,train,1981-02-27,0
0.7970197,0.20298027,0,train,1981-02-28,0
0.92737937,0.072620615,0,train,1981-03-01,0
0.955985,0.04401502,0,test,1981-03-02,0
0.9540337,0.045966323,0,train,1981-03-03,0
0.68817973,0.3118203,0,train,1981-03-04,0
0.9611381,0.038861822,0,train,1981-03-05,0
0.94942933,0.05057063,0,test,1981-03-06,0
0.8898735,0.11012644,0,train,1981-03-07,0
0.89259547,0.10740454,0,train,1981-03-08,0
0.88748586,0.11251412,0,train,1981-03-09,0
0.8906698,0.10933015,0,train,1981-03-10,0
0.9159412,0.0840588,0,train,1981-03-11,0
0.93018633,0.06981372,0,train,1981-03-12,0
0.94342697,0.05657305,0,train,1981-03-13,0
0.9557918,0.044208165,0,test,1981-03-14,0
0.78973544,0.21026449,0,train,1981-03-15,0
0.9558219,0.04417819,0,test,1981-03-16,0
0.9675437,0.03245627,0,train,1981-03-17,0
0.95278513,0.047214888,0,train,1981-03-18,0
0.984772,0.015227993,0,test,1981-03-19,0
0.9806841,0.01931594,0,test,1981-03-20,0
0.5873303,0.41266975,0,train,1981-03-21,0
0.69742286,0.30257708,0,train,1981-03-22,0
0.93076694,0.06923308,0,train,1981-03-23,0
0.91879916,0.08120086,0,train,1981-03-24,0
0.92347646,0.076523595,0,train,1981-03-25,0
0.9349948,0.06500523,0,train,1981-03-26,0
